ticker,name,sector,industry,returns_mean,returns_std,beta,alpha,sharpe_ratio,max_drawdown,market_cap_log,volume_mean,volatility
AAPL,Apple Inc.,Technology,Consumer Electronics,0.1485296674119819,0.2741762580608054,1.0971791204128223,0.1664369297816829,-1837.8348937356243,-0.2719205448769173,28.671249541742686,55364872.50996016,0.2741762580608054
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,-0.13694274497635556,0.2200664073620733,0.9757749095019133,-0.12544299197609948,-2291.01830013012,-0.22590806262488639,28.614986647593188,20800889.24302789,0.2200664073620733
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,0.001972244990022782,0.29678626130668173,1.1227286985979537,0.021227970978722404,-1698.3173321476302,-0.2936927603678555,28.211351461650327,27602618.326693226,0.29678626130668173
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,-0.03362495743179195,0.3024948465252661,1.3838339821223047,-0.0005885352214300144,-1666.3849137038171,-0.29356357215277906,28.22556632577545,40674818.7250996,0.3024948465252661
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,0.015351191760256051,0.3325315249939641,1.325651666253541,0.0453168495278699,-1515.7175626666126,-0.31423968889961773,27.876954351675305,14453239.840637451,0.3325315249939641
TSLA,"Tesla, Inc.",Consumer Cyclical,Auto Manufacturers,0.6174992600266749,0.7013814467855067,2.5584807352926298,0.7125315555288637,-717.757401215306,-0.5370524722253526,27.36982693697483,94496687.25099601,0.7013814467855067
NVDA,NVIDIA Corporation,Technology,Semiconductors,0.23624273218549185,0.573909931486855,2.38046720396145,0.32187977392066314,-877.8432875834931,-0.368810279833536,28.464436081770074,313404401.5936255,0.573909931486855
JPM,JP Morgan Chase & Co.,Financial Services,Banks - Diversified,0.11888786943497748,0.2777566482347893,1.0364606757397394,0.13359051476362374,-1814.2512127019243,-0.24886590601829073,27.099935052568018,9441323.412698412,0.2777566482347893
V,Visa Inc.,Financial Services,Credit Services,0.15009858363732967,0.19675683775055153,0.6754040320937906,0.14574526863557621,-2560.97389520265,-0.13669319219293175,27.12689118271388,7212202.3904382475,0.19675683775055153
WMT,Walmart Inc.,Consumer Defensive,Discount Stores,0.3684886909360031,0.2241402731273592,0.5098883247904719,0.35539973622802407,-2247.122875540961,-0.20591671384561783,27.22593862798945,17160668.525896415,0.2241402731273592
PG,Procter & Gamble Company (The),Consumer Defensive,Household & Personal Products,0.088372075957127,0.17615787472061717,0.03997771606061716,0.05048203234418669,-2860.790938178167,-0.11764049576256919,26.673828087645965,6937224.302788844,0.17615787472061717
MA,Mastercard Incorporated,Financial Services,Credit Services,0.050042195289894065,0.18917734201381356,0.719101781921688,0.04799517377948733,-2664.109645505714,-0.15016225453580356,26.82476624825954,2569866.533864542,0.18917734201381356
HD,"Home Depot, Inc. (The)",Consumer Cyclical,Home Improvement Retail,0.037388001784833653,0.21878091937117347,0.6486757996479607,0.03162401578130551,-2303.6827764151253,-0.1898980456706698,26.586294300043562,3456849.800796813,0.21878091937117347
BAC,Bank of America Corporation,Financial Services,Banks - Diversified,-0.013442830537171713,0.2769525468855249,1.0844572528341354,0.003792993131221868,-1819.9965021600074,-0.2750937519625052,26.28954827596375,37805135.85657371,0.2769525468855249
DIS,Walt Disney Company (The),Communication Services,Entertainment,-0.30833059227951226,0.2581771448019715,0.7809067571024089,-0.30711565150230613,-1953.494197732144,-0.2879945783649265,25.740576749311597,9811664.541832669,0.2581771448019715
NFLX,"Netflix, Inc.",Communication Services,Entertainment,0.35131564988603875,0.32373336876504233,1.1716952290698226,0.3731557467168499,-1555.8726925091912,-0.19151709324587685,26.62617259412529,3626255.77689243,0.32373336876504233
ADBE,Adobe Inc.,Technology,Software - Application,-0.26563317862814656,0.36010588896951723,1.0656075757742955,-0.24939220910414972,-1400.4349064859102,-0.40487594478063815,25.725691753114393,3353284.860557769,0.36010588896951723
CSCO,"Cisco Systems, Inc.",Technology,Communication Equipment,0.16836827253462688,0.20604569662539401,0.7917544532379375,0.17015573640723286,-2445.4325605691383,-0.15362829658132304,26.103052278534523,19720747.808764942,0.20604569662539401
INTC,Intel Corporation,Technology,Semiconductors,-0.4838443652047488,0.588835793125639,1.690455539373746,-0.4346249746589297,-856.8145381457456,-0.5069221973830702,25.18407722361079,76046074.9003984,0.588835793125639
VZ,Verizon Communications Inc.,Communication Services,Telecom Services,0.1127601933178367,0.2243495061279363,0.019737313157274235,0.07380189539747634,-2246.167028710726,-0.13557422417083143,25.922554754372143,19715307.96812749,0.2243495061279363
PFE,"Pfizer, Inc.",Healthcare,Drug Manufacturers - General,-0.06152028644380903,0.234418307741286,0.3084146485339915,-0.0852426817764898,-2150.4324850267844,-0.2445866853274974,25.59289966887315,39518756.97211155,0.234418307741286
ABT,Abbott Laboratories,Healthcare,Medical Devices,0.1545714602563329,0.2044792142009574,0.20720868469152,0.12550758494780334,-2464.2340996574876,-0.11253743147854856,26.097704914125515,5906273.306772908,0.2044792142009574
TMO,Thermo Fisher Scientific Inc,Healthcare,Diagnostics & Research,-0.2534017172929024,0.22774741438886725,0.5957948120790545,-0.26195667257806377,-2214.2627912414496,-0.29689555650874466,25.830461196475024,1643586.8525896415,0.22774741438886725
MRK,"Merck & Company, Inc.",Healthcare,Drug Manufacturers - General,-0.3952429543597565,0.2437618204070687,0.059709059712600356,-0.43209161095347226,-2069.374383065428,-0.37285062696519433,26.05015361095418,11206392.430278884,0.2437618204070687
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,0.05537668257728916,0.18917057459129866,-0.08431285915426819,0.010926792157984748,-2664.1767524981037,-0.1444626255767929,26.6348357085196,7796949.003984064,0.18917057459129866
KO,Coca-Cola Company (The),Consumer Defensive,Beverages - Non-Alcoholic,0.20530577326843288,0.16089416008072674,0.0398302364366125,0.16740794592982505,-3131.4618115372373,-0.15502976741295138,26.43020549589045,15046551.394422311,0.16089416008072674
PEP,"Pepsico, Inc.",Consumer Defensive,Beverages - Non-Alcoholic,-0.09388247388162889,0.1855781834339834,-0.018777330556300913,-0.13487350969966122,-2716.5537290575053,-0.2021577260382439,26.02680829243563,5943578.087649402,0.1855781834339834
MCD,McDonald's Corporation,Consumer Cyclical,Restaurants,0.16272888769752805,0.1974422994902504,0.3003869337039562,0.13858280312373497,-2552.018975562057,-0.11099706091239792,26.091188011703924,3540609.1633466138,0.1974422994902504
NKE,"Nike, Inc.",Consumer Cyclical,Footwear & Accessories,-0.3523093897884404,0.3681456674098698,0.6119379388899573,-0.36001233808375444,-1370.0868373758547,-0.419665909960127,25.160022470101275,13447659.760956176,0.3681456674098698
SBUX,Starbucks Corporation,Consumer Cyclical,Restaurants,0.05163372119870973,0.41356065881016846,0.9190199501612639,0.06013804322495663,-1218.6545777691197,-0.29108021582866517,25.258655517012826,11218852.19123506,0.41356065881016846
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,-0.5834805632460162,0.4614662350452788,1.8643470482523017,-0.5250834723218805,-1093.520318510749,-0.533811703596955,25.660098672246782,43184430.27888446,0.4614662350452788
QCOM,QUALCOMM Incorporated,Technology,Semiconductors,-0.19837551727653174,0.40053537140184264,1.8118744324302534,-0.14274784246240063,-1258.9090384649617,-0.4298149817467751,25.671818287718274,8677017.928286852,0.40053537140184264
TXN,Texas Instruments Incorporated,Technology,Semiconductors,-0.02205445101629494,0.3218482199212854,1.3270317472157491,0.007984045095471827,-1566.1459253673,-0.30768750904074815,25.648724390666708,5805884.462151394,0.3218482199212854
AVGO,Broadcom Inc.,Technology,Semiconductors,0.27551271585199194,0.5957050798557988,2.2584920257836267,0.3547121135289381,-845.6595857324508,-0.4114967580412724,27.256834049987187,30638532.270916335,0.5957050798557988
MU,"Micron Technology, Inc.",Technology,Semiconductors,-0.4682692404457536,0.5925751559394382,2.3765648667745456,-0.3828381574817008,-851.3814457949203,-0.5762897519618435,25.004492845953827,22797870.517928287,0.5925751559394382
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,-0.39028598606474646,0.4393939282878976,1.8684544655344604,-0.3316721125881591,-1148.0120167272275,-0.4988191840840327,25.35934716612738,6363921.912350598,0.4393939282878976
LRCX,Lam Research Corporation,Technology,Semiconductor Equipment & Materials,-0.34387415906734753,0.47632586484749634,2.0680752049079456,-0.27472463984771617,-1058.9034422600112,-0.4561386218498441,25.052042961102185,11825524.302788844,0.47632586484749634
KLAC,KLA Corporation,Technology,Semiconductor Equipment & Materials,-0.0583063644954314,0.45049290771756767,1.9722544419417634,0.0057858965625062694,-1118.9910462385303,-0.3494752858791672,25.06203711889694,1014105.9760956175,0.45049290771756767
AMGN,Amgen Inc.,Healthcare,Drug Manufacturers - General,0.15221710103314817,0.26446922446095167,0.42676376775203223,0.13474097248615277,-1905.2765314808412,-0.22740562324299507,25.78679580494367,2725551.394422311,0.26446922446095167
GILD,"Gilead Sciences, Inc.",Healthcare,Drug Manufacturers - General,0.502974229299181,0.2437669826827756,0.2063695929534812,0.4738660681447737,-2065.6458228856914,-0.10367722209933994,25.618872299728537,7349987.250996016,0.2437669826827756
BMY,Bristol-Myers Squibb Company,Healthcare,Drug Manufacturers - General,0.1580051101042438,0.3032717559989166,0.1321639673584267,0.12498050126076292,-1661.4841596298181,-0.2236433759375085,25.446416582344007,12714928.174603175,0.3032717559989166
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,0.16579835540162305,0.2577781382107476,0.23445082631414335,0.1381722743539433,-1954.678658583834,-0.19070972013763066,26.52456365021064,5786970.517928286,0.2577781382107476
LLY,Eli Lilly and Company,Healthcare,Drug Manufacturers - General,-0.0019377949058460066,0.3242496928328864,0.8040911904842545,0.0005007811390730459,-1554.4846231206916,-0.24280547315045264,27.2198967810432,3323826.693227092,0.3242496928328864
UNH,UnitedHealth Group Incorporated,Healthcare,Healthcare Plans,0.20090189674300463,0.28978116677133614,0.17340326865630992,0.17005382862634794,-1738.6855311623983,-0.25903222831918304,26.897613310719542,4264400.398406374,0.28978116677133614
CVX,Chevron Corporation,Energy,Oil & Gas Integrated,-0.05310084947234297,0.22450681620052138,0.5888279269557455,-0.06202350519695786,-2245.3319375597885,-0.15330339801899384,26.253721298892646,7696081.274900398,0.22450681620052138
XOM,Exxon Mobil Corporation,Energy,Oil & Gas Integrated,-0.0946277670540476,0.2199064109975743,0.4231497312467723,-0.11229463834872216,-2292.492743824728,-0.15339930306134497,26.83859677845433,15765665.737051792,0.2199064109975743
COP,ConocoPhillips,Energy,Oil & Gas E&P,-0.37100806896878363,0.2802930192204975,0.6536893825364146,-0.37650744652841,-1799.5818562915708,-0.33498302796607826,25.4153953315911,6872134.661354582,0.2802930192204975
EOG,"EOG Resources, Inc.",Energy,Oil & Gas E&P,-0.1474559740638864,0.25490492627279454,0.597109626858075,-0.15594153564389993,-1977.9401171710433,-0.19350716386665234,24.833700115483325,3122976.892430279,0.25490492627279454
JNPR,"Juniper Networks, Inc.",Technology,Communication Equipment,-0.05459662188600215,0.13885418632445623,0.22320045970353466,-0.08281647829720751,-3630.3825886056425,-0.12483759944145612,23.149112384507244,3272731.075697211,0.13885418632445623
ANET,"Arista Networks, Inc.",Technology,Computer Hardware,-0.007237287533577788,0.5173434610559277,2.1824734841014815,0.06794997980270555,-974.2975392482375,-0.5041596124253692,25.119913761699397,8978280.079681275,0.5173434610559277
MSI,"Motorola Solutions, Inc.",Technology,Communication Equipment,0.16477974458465394,0.2074633412346038,0.6506967667191018,0.15912242181254516,-2428.739655990823,-0.19911091985879747,24.93006421809686,757175.6972111554,0.2074633412346038
HPQ,HP Inc.,Technology,Computer Hardware,-0.1525100834292705,0.36649819773446474,1.0339045433963228,-0.13794234645196637,-1375.7004453652173,-0.413965863726811,23.78265413039515,7599282.868525896,0.36649819773446474
DELL,Dell Technologies Inc.,Technology,Computer Hardware,-0.44393180590987263,0.5606478330602159,2.0155637569455123,-0.377553752295082,-899.8218236529772,-0.5958774336186433,24.63501582720931,10282965.33864542,0.5606478330602159
CRM,"Salesforce, Inc.",Technology,Software - Application,-0.15115666348228496,0.37479532172832225,1.2096086410321363,-0.1273155607509913,-1345.241925923445,-0.34478294567076495,26.167285548362816,6686927.888446216,0.37479532172832225
ORCL,Oracle Corporation,Technology,Software - Infrastructure,0.11491298932939559,0.3937518905662643,1.5248626346461234,0.1553926658192132,-1279.801628511264,-0.33178149963144377,26.608532283945625,9096501.195219124,0.3937518905662643
SAP,SAP  SE,Technology,Software - Application,0.308907464458906,0.26596720501444726,1.0094675610638852,0.32218545874869364,-1893.9564984096526,-0.15386973361622025,26.419846198755383,932417.9282868525,0.26596720501444726
NOW,"ServiceNow, Inc.",Technology,Software - Application,-0.008204434270683267,0.385180566347905,1.3636558308939215,0.023767019170606727,-1308.6003610691657,-0.3834106448431789,25.72728831116549,1434503.984063745,0.385180566347905
WDAY,"Workday, Inc.",Technology,Software - Application,-0.15252022117766662,0.34721493192603226,0.9169410472856191,-0.144125620136828,-1452.1027111069345,-0.2361490329440119,24.779549176891138,2561483.266932271,0.34721493192603226
TCS.NS,TATA CONSULTANCY SERV LT,Technology,Information Technology Services,-0.1454277318985741,0.21434250948337003,,,-2352.238259748656,-0.26210869517976,30.11070800434353,2411635.7148594377,0.21434250948337003
HDFCBANK.NS,HDFC BANK LTD,Financial Services,Banks - Regional,0.2112764195421968,0.2048550766794677,,,-2459.4359852463394,-0.12926403161312938,30.263326961103125,17381235.7188755,0.2048550766794677
INFY.NS,INFOSYS LIMITED,Technology,Information Technology Services,0.021860404945932898,0.24035302644786322,,,-2096.987796697487,-0.27406607998196997,29.45558871362898,7025661.232931727,0.24035302644786322
ICICIBANK.NS,ICICI BANK LTD.,Financial Services,Banks - Regional,0.2464121359702361,0.20451388330577097,,,-2463.3672955895468,-0.11139585015340636,29.883355978768776,13617741.30120482,0.20451388330577097
HINDUNILVR.NS,HINDUSTAN UNILEVER LTD.,Consumer Defensive,Household & Personal Products,0.029367681005903458,0.20575164179263888,,,-2449.603083081932,-0.2822537242124453,29.294056343436825,1919295.2248995984,0.20575164179263888
ITC.NS,ITC LTD,Consumer Defensive,Tobacco,0.021836443313924925,0.19953653069648888,,,-2525.9404158367383,-0.23274518812929568,29.265547081207924,14341078.85943775,0.19953653069648888
SBIN.NS,STATE BANK OF INDIA,Financial Services,Banks - Regional,0.06862171202994248,0.28364178797979406,,,-1776.7854505602502,-0.23944131924624124,29.55515287692868,14953580.89558233,0.28364178797979406
BHARTIARTL.NS,BHARTI AIRTEL LIMITED,Communication Services,Telecom Services,0.40702383185389884,0.23442280860741974,,,-2148.3924833312008,-0.13886847414726367,29.977345649159606,6533970.678714859,0.23442280860741974
KOTAKBANK.NS,KOTAK MAHINDRA BANK LTD,Financial Services,Banks - Regional,0.23522613141267437,0.25644373271889515,,,-1964.5791000330807,-0.16067943041269417,29.075272768202485,5486991.285140562,0.25644373271889515
LT.NS,LARSEN & TOUBRO LTD.,Industrials,Engineering & Construction,-0.10529349338976228,0.28753256477825206,,,-1753.347547425155,-0.19847742545045843,29.131386213824502,2433396.3855421687,0.28753256477825206
ASIANPAINT.NS,ASIAN PAINTS LIMITED,Basic Materials,Specialty Chemicals,-0.181599332898283,0.21987460982905438,,,-2293.219865132848,-0.3687269410036663,28.44584933886017,1318424.7309236948,0.21987460982905438
AXISBANK.NS,AXIS BANK LIMITED,Financial Services,Banks - Regional,0.057131324152646296,0.24371579280672626,,,-2067.909045356544,-0.2802702949647874,28.848944230652787,9435250.449799197,0.24371579280672626
MARUTI.NS,MARUTI SUZUKI INDIA LTD.,Consumer Cyclical,Auto Manufacturers,-0.05673616994519908,0.22682458610740644,,,-2222.404407680337,-0.20443700760679084,28.91472205297934,518611.1767068273,0.22682458610740644
HCLTECH.NS,HCL TECHNOLOGIES LTD,Technology,Information Technology Services,-0.016031211397712145,0.24364387752557387,,,-2068.819705612809,-0.2823989682667619,28.980204017172387,3144658.076305221,0.24364387752557387
SUNPHARMA.NS,SUN PHARMACEUTICAL IND L,Healthcare,Drug Manufacturers - Specialty & Generic,0.08499117575168942,0.20364773686434962,,,-2474.6370391798523,-0.19128607437882683,29.04232384088487,2230088.931726908,0.20364773686434962
TATAMOTORS.NS,TATA MOTORS LIMITED,Consumer Cyclical,Auto Manufacturers,-0.4542063884471974,0.3142246522041868,,,-1605.5183023197205,-0.4716615841246077,28.446295935500157,13029664.899598394,0.3142246522041868
WIPRO.NS,WIPRO LTD,Technology,Information Technology Services,0.07379411879430536,0.29329725883963514,,,-1718.2752803093204,-0.2280206473112869,28.577594469558832,14855508.558232931,0.29329725883963514
ULTRACEMCO.NS,ULTRATECH CEMENT LIMITED,Basic Materials,Building Materials,0.17940763302984403,0.25411495461815925,,,-1982.8026921497342,-0.16182276683028507,28.849626083105175,362748.7148594378,0.25411495461815925
TITAN.NS,TITAN COMPANY LIMITED,Consumer Cyclical,Luxury Goods,-0.17675930798981615,0.24500287743480892,,,-2058.000250252475,-0.21888361790496125,28.634856563331745,1237662.4136546184,0.24500287743480892
BAJFINANCE.NS,BAJAJ FINANCE LIMITED,Financial Services,Credit Services,0.22377479590760557,0.26823331573907594,,,-1878.2732024966006,-0.16769862730765916,29.320832731755118,1188767.7429718876,0.26823331573907594
TECHM.NS,TECH MAHINDRA LIMITED,Technology,Information Technology Services,0.09675176422962334,0.27063872125387894,,,-1862.0486738424192,-0.2646682625142285,27.78715037770723,2126853.120481928,0.27063872125387894
BAJAJFINSV.NS,BAJAJ FINSERV LTD.,Financial Services,Financial Conglomerates,0.17853438656965182,0.2518641496591984,,,-2000.5256407497302,-0.22449888760412284,28.747266826593098,1793918.6706827309,0.2518641496591984
ONGC.NS,OIL AND NATURAL GAS CORP.,Energy,Oil & Gas Integrated,-0.056963562634017424,0.36387635305052507,,,-1385.3502243331059,-0.3122821581289611,28.67613611445313,17408018.63453815,0.36387635305052507
TATACONSUM.NS,TATA CONSUMER PRODUCT LTD,Consumer Defensive,Packaged Foods,0.011147262855156357,0.25332173808934344,,,-1989.6755813541906,-0.28355036138237977,27.705134682618407,1806601.3975903615,0.25332173808934344
M&M.NS,MAHINDRA & MAHINDRA LTD,Consumer Cyclical,Auto Manufacturers,0.32402341647789523,0.32533881246805124,,,-1548.2788436083417,-0.19494876552023754,28.766992889385,3275104.9116465864,0.32533881246805124
POWERGRID.NS,POWER GRID CORP. LTD.,Utilities,Utilities - Regulated Electric,0.13765893776337002,0.29969360409869017,,,-1681.3891185402927,-0.29559044587608396,28.63675201702401,15398315.036144579,0.29969360409869017
NTPC.NS,NTPC LTD,Utilities,Utilities - Regulated Electric,0.06204032801337914,0.3202207470383218,,,-1573.8430070463157,-0.32302293903421553,28.854123636321678,16268487.02008032,0.3202207470383218
ADANIENT.NS,ADANI ENTERPRISES LIMITED,Energy,Thermal Coal,-0.21238718453396982,0.4576798239110077,,,-1101.7562597384785,-0.4247732568170359,28.62270640886599,2138545.0401606425,0.4576798239110077
ADANIGREEN.NS,ADANI GREEN ENERGY LTD,Utilities,Utilities - Renewable,-0.5669029675939913,0.5658928508707566,,,-891.6990662747626,-0.628818444534607,28.012257490253546,3124334.734939759,0.5658928508707566
ADANIPORTS.NS,ADANI PORT & SEZ LTD,Industrials,Marine Shipping,-0.08657835765210477,0.40583998091751317,,,-1242.1787547480176,-0.3377668567994695,28.540561328554478,4084922.5341365463,0.40583998091751317
APOLLOHOSP.NS,APOLLO HOSPITALS ENTER. L,Healthcare,Medical Care Facilities,0.07044980953477095,0.22435228474148664,,,-2246.3277988748564,-0.18497183862689304,27.595861718866253,394567.4016064257,0.22435228474148664
AUROPHARMA.NS,AUROBINDO PHARMA LTD,Healthcare,Drug Manufacturers - Specialty & Generic,0.02315797061776567,0.2830962913555191,,,-1780.3697229005727,-0.3298394395063985,27.1878377485285,1294001.9718875503,0.2830962913555191
BAJAJ-AUTO.NS,BAJAJ AUTO LIMITED,Consumer Cyclical,Auto Manufacturers,-0.12939712830919375,0.27780168584900783,,,-1814.8508327187064,-0.42104310786549737,28.39486788497326,471254.0883534137,0.27780168584900783
BPCL.NS,BHARAT PETROLEUM CORP  LT,Energy,Oil & Gas Refining & Marketing,0.03486835197235861,0.32242684495923823,,,-1563.1587856066017,-0.34588784901286085,27.80830717982905,13180499.46184739,0.32242684495923823
BRITANNIA.NS,BRITANNIA INDUSTRIES LTD,Consumer Defensive,Packaged Foods,0.07929898078959843,0.2134979704342554,,,-2360.4904709847024,-0.29023195073896846,27.8220452925979,399997.2931726908,0.2134979704342554
CIPLA.NS,CIPLA LTD,Healthcare,Drug Manufacturers - Specialty & Generic,0.007711067357454713,0.24843740196612277,,,-2028.806889418351,-0.1692353611508851,27.764659961340687,1896303.0080321284,0.24843740196612277
COALINDIA.NS,COAL INDIA LTD,Energy,Thermal Coal,-0.046251830926478825,0.3068861953796803,,,-1642.5811365437746,-0.30840138133500683,28.495158902937327,9436210.602409638,0.3068861953796803
DIVISLAB.NS,DIVI S LABORATORIES LTD,Healthcare,Drug Manufacturers - Specialty & Generic,0.43439218055944157,0.2756500792837039,,,-1826.971473737705,-0.1352672907676017,28.00638890409717,555581.2289156626,0.2756500792837039
DRREDDY.NS,DR. REDDY S LABORATORIES,Healthcare,Drug Manufacturers - Specialty & Generic,-0.07564788544981703,0.2074137667365915,,,-2430.4793244080183,-0.21758735845576893,27.552796837452437,2206856.044176707,0.2074137667365915
EICHERMOT.NS,EICHER MOTORS LTD,Consumer Cyclical,Auto Manufacturers,0.3173791058612497,0.2612417021828731,,,-1928.1831363468507,-0.14254590079645413,27.99482026814859,589465.2891566266,0.2612417021828731
GRASIM.NS,GRASIM INDUSTRIES LTD,Basic Materials,Building Materials,0.17257549983512838,0.235575132754028,,,-2138.878761841527,-0.19228382001497835,28.17206468461711,758398.4899598394,0.235575132754028
HDFCLIFE.NS,HDFC LIFE INS CO LTD,Financial Services,Insurance - Life,0.1355565508928703,0.24095334826782336,,,-2091.2914090508248,-0.21692142624394328,28.025186448220037,4289444.425702811,0.24095334826782336
HEROMOTOCO.NS,HERO MOTOCORP LIMITED,Consumer Cyclical,Auto Manufacturers,-0.1525052803704239,0.2463389637050204,,,-2046.7396690421256,-0.42157897600786287,27.318882802497527,701351.2208835342,0.2463389637050204
HINDALCO.NS,HINDALCO  INDUSTRIES  LTD,Basic Materials,Aluminum,0.09259704092052659,0.3110148943270366,,,-1620.3295595052618,-0.25973342651637166,27.917668983119132,6778209.152610442,0.3110148943270366
HINDPETRO.NS,HINDUSTAN PETROLEUM CORP,Energy,Oil & Gas Refining & Marketing,0.2621055588152209,0.39285001428435445,,,-1282.365024535705,-0.34503901895206246,27.35987404724648,8479093.578313254,0.39285001428435445
ICICIGI.NS,ICICI LOMBARD GIC LIMITED,Financial Services,Insurance - Diversified,0.14749748586772618,0.24057402921673784,,,-2094.5391650134848,-0.27725557295281755,27.532846725085474,775537.4457831326,0.24057402921673784
INDUSINDBK.NS,INDUSIND BANK LIMITED,Financial Services,Banks - Regional,-0.7146154425667479,0.43073155265094176,,,-1171.852482367445,-0.5892993261746771,26.998620592951546,5984172.899598394,0.43073155265094176
JSWSTEEL.NS,JSW STEEL LIMITED,Basic Materials,Steel,0.19706122336567528,0.25680018307750735,,,-1962.0007918373954,-0.14950435880660784,28.52872816788293,2228605.497991968,0.25680018307750735
LUPIN.NS,LUPIN LIMITED,Healthcare,Drug Manufacturers - Specialty & Generic,0.2673256508309484,0.2929910613345729,,,-1719.41046876964,-0.21078002931602924,27.525563299609388,1189996.0481927712,0.2929910613345729
SBILIFE.NS,SBI LIFE INSURANCE CO LTD,Financial Services,Insurance - Life,0.06489403033303207,0.2440384535788588,,,-2065.14310488464,-0.2808441390642574,28.046988832783427,1486631.313253012,0.2440384535788588
